endTime,artistName,trackName,msPlayed,genres
2022-12-17 06:06,FKJ,Ylang Ylang,1386,"['filter house', 'indie soul']"
2022-12-17 06:06,Shawn Mendes,It'll Be Okay,1151,"['canadian pop', 'pop', 'viral pop']"
2022-12-17 06:06,dhruv,airplane thoughts,210405,['nyc pop']
2022-12-17 06:10,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,10396,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 06:10,Emotional Oranges,West Coast Love,215386,['indie r&b']
2022-12-17 06:13,Nicky Youre,Sunroof,163025,['singer-songwriter pop']
2022-12-17 06:15,ZAYN,River Road,108858,"['pop', 'uk pop']"
2022-12-17 06:18,Jenevieve,Baby Powder,157802,['alternative r&b']
2022-12-17 06:21,dhruv,double take,170474,['nyc pop']
2022-12-17 06:23,dhruv,moonlight,159130,['nyc pop']
2022-12-17 06:24,The Weeknd,Starboy,2645,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-17 06:24,Lana Del Rey,Venice Bitch,7068,"['art pop', 'pop']"
2022-12-17 06:28,The Weeknd,I Feel It Coming,264746,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-17 06:29,ZAYN,Vibez,40448,"['pop', 'uk pop']"
2022-12-17 06:33,Post Malone,Circles,215280,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 06:36,Bruno Major,Easily,210240,['singer-songwriter pop']
2022-12-17 06:39,James Bay,Us,45522,"['neo mellow', 'pop', 'uk pop']"
2022-12-17 06:43,Maroon 5,She Will Be Loved,257133,['pop']
2022-12-17 06:44,Maroon 5,She Will Be Loved - Radio Mix,52020,['pop']
2022-12-17 06:47,Maroon 5,This Love,206200,['pop']
2022-12-17 08:27,Taylor Swift,Call It What You Want,203506,['pop']
2022-12-17 08:34,Billie Eilish,all the good girls go to hell,141421,"['art pop', 'pop']"
2022-12-17 16:03,Harry Styles,Keep Driving,140241,['pop']
2022-12-17 20:03,Ryan Gosling,City Of Stars,111240,['hollywood']
2022-12-17 20:09,Mac Miller,Surf,330506,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']"
2022-12-17 20:12,Lana Del Rey,Blue Jeans,209440,"['art pop', 'pop']"
2022-12-17 20:17,Black Eyed Peas,Where Is The Love?,272533,"['dance pop', 'pop', 'pop rap']"
2022-12-17 20:18,Flica,cirrus : fib,103783,['j-ambient']
2022-12-17 20:18,A.R. Rahman,Ay Hairathe,12540,['filmi']
2022-12-17 21:01,KK,Kaise Mein Kahun Tujhse,64773,"['filmi', 'modern bollywood']"
2022-12-17 21:02,Manohari Singh,Zara Zara - Flute Fusion,50182,['indian instrumental']
2022-12-17 21:06,Two Another,Keeping Me Under,218926,['indie soul']
2022-12-17 21:10,Harry Styles,Matilda,245964,['pop']
2022-12-17 21:12,Post Malone,Wow.,149546,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 21:15,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2022-12-17 21:18,Harry Hudson,Yellow Lights,171381,['pop r&b']
2022-12-17 21:22,Bruno Major,Easily,210240,['singer-songwriter pop']
2022-12-17 21:26,FKJ,Skyline,249847,"['filter house', 'indie soul']"
2022-12-17 21:29,Khalid,Outta My Head (with John Mayer),177066,"['pop', 'pop r&b']"
2022-12-17 21:33,((( O ))),iFeel,269638,['experimental hip hop']
2022-12-17 21:38,ZAYN,River Road,199690,"['pop', 'uk pop']"
2022-12-18 03:09,ZAYN,River Road,2069,"['pop', 'uk pop']"
2022-12-18 03:14,The Weeknd,Save Your Tears,195690,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2022-12-18 03:17,Zara Larsson,Lush Life,201122,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2022-12-18 03:21,Clean Bandit,Symphony (feat. Zara Larsson),212733,"['pop', 'uk dance', 'uk funky']"
2022-12-18 03:25,Zara Larsson,Never Forget You,213427,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2022-12-18 03:27,Zara Larsson,Ain't My Fault,19877,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2022-12-18 03:38,Zara Larsson,Lay All Your Love On Me - Spotify Singles,2474,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2022-12-18 07:00,Zara Larsson,Lay All Your Love On Me - Spotify Singles,2720,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
2022-12-18 07:04,Swedish House Mafia,Moth To A Flame (with The Weeknd),234000,"['edm', 'pop dance', 'progressive electro house']"
2022-12-18 22:11,dhruv,moonlight,9514,['nyc pop']
2022-12-18 22:15,dhruv,airplane thoughts,210405,['nyc pop']
